RAT: Libraries loaded.

Processing readMTV.C...
***********************************************************************************************
*    Row   * Instance * trackPDG  *  trackPos *  trackPos *  trackPos *  trackTim *  trackPro *
*        3 *       45 *      2212 * 3426.4435 * -19056.74 * 5310.7018 * 34099.661 *         4 *
*        3 *       46 *      2212 * 3431.9905 * -19054.85 * 5315.5998 * 32370.353 *         1 *
*        3 *       47 *      2212 * 3431.9905 * -19054.85 * 5315.5998 * 32370.354 *         4 *
*        3 *       48 *      2212 * 3443.2225 * -19042.42 * 5306.1732 * 24985.825 *         1 *
*        3 *       49 *      2212 * 3443.2225 * -19042.42 * 5306.1732 * 24985.825 *         4 *
*        3 *       50 *      2212 * 3442.2897 * -19043.55 * 5306.2478 * 24638.362 *         1 *
*        3 *       51 *      2212 * 3442.2897 * -19043.55 * 5306.2478 * 24638.362 *         4 *
*        3 *       52 *      2212 * 3439.9178 * -19044.01 * 5301.9416 * 23087.856 *         1 *
*        3 *       53 *      2212 * 3439.9178 * -19044.01 * 5301.9416 * 23087.856 *         4 *
*        3 *       54 *      2212 * 3440.9563 * -19044.76 * 5301.1700 * 22574.922 *         1 *
*        3 *       55 *      2212 * 3440.9563 * -19044.76 * 5301.1700 * 22574.922 *         4 *
*        3 *       56 *      2212 * 3458.8782 * -19049.89 * 5303.3333 * 14349.685 *         1 *
*        3 *       57 *      2212 * 3458.8782 * -19049.89 * 5303.3333 * 14349.686 *         4 *
*        3 *       58 *      2212 *   3461.34 * -19048.65 * 5307.9192 * 13019.609 *         1 *
*        3 *       59 *      2212 *   3461.34 * -19048.65 * 5307.9192 * 13019.610 *         4 *
*        3 *       63 *      2212 * 3462.5904 * -19047.74 * 5304.6334 * 11795.076 *         1 *
*        3 *       64 *      2212 * 3462.5904 * -19047.74 * 5304.6334 * 11795.077 *         4 *
*        3 *       68 *      2212 * 3460.5290 * -19058.59 * 5304.4087 * 8866.5869 *         1 *
*        3 *       69 *      2212 * 3460.5290 * -19058.59 * 5304.4087 * 8866.5872 *         4 *
*        3 *       70 *      2212 * 3453.9193 * -19060.47 * 5306.4714 * 6906.0571 *         1 *
*        3 *       71 *      2212 * 3453.9193 * -19060.47 * 5306.4714 * 6906.0574 *         4 *
*        3 *       72 *      2212 * 3454.3373 * -19058.14 * 5313.6294 * 4135.2823 *         1 *
*        3 *       73 *      2212 * 3454.3373 * -19058.14 * 5313.6294 * 4135.2826 *         4 *
*        3 *       74 *      2212 * 3453.7184 * -19057.24 * 5314.0931 * 3765.0325 *         1 *
*        3 *       75 *      2212 * 3453.7184 * -19057.24 * 5314.0931 * 3765.0327 *         4 *
*        3 *       76 *      2212 * 3455.3136 * -19057.60 * 5314.5356 * 3355.7528 *         1 *
*        3 *       77 *      2212 * 3455.3136 * -19057.60 * 5314.5356 * 3355.7531 *         4 *
*        3 *       78 *      2212 * 3463.2568 * -19050.49 * 5325.4095 * 1040.1381 *         1 *
*        3 *       79 *      2212 * 3463.2568 * -19050.49 * 5325.4095 * 1040.1384 *         4 *
*        3 *       83 *      2212 * 3463.3037 * -19052.66 * 5326.6031 * 548.72584 *         1 *
*        3 *       84 *      2212 * 3463.3038 * -19052.66 * 5326.6031 * 548.72613 *         4 *
*        3 *       85 *      2212 * 3458.8866 * -19058.57 * 5315.7707 * 158.84035 *         1 *
*        3 *       86 *      2212 * 3458.8866 * -19058.57 * 5315.7707 * 158.84035 *         4 *
*        3 *       87 *      2212 * 3455.8970 * -19067.75 * 5317.5421 * 49.652414 *         1 *
*        3 *       88 *      2212 * 3455.8970 * -19067.75 * 5317.5422 * 49.652416 *         4 *
*        3 *       89 *      2212 * 3454.5377 * -19068.05 * 5316.9167 * 43.177220 *         1 *
*        3 *       90 *      2212 * 3454.5377 * -19068.05 * 5316.9167 * 43.177222 *         4 *
*        3 *       94 *      2212 * 3454.2407 * -19068.66 * 5314.5935 * 35.204914 *         1 *
*        3 *       95 *      2212 * 3454.2407 * -19068.66 * 5314.5935 * 35.204917 *         4 *
*        3 *       96 *      2212 * 3454.7874 * -19076.25 * 5306.6435 * 10.185282 *         1 *
*        3 *       97 *      2212 * 3454.7873 * -19076.25 * 5306.6436 * 10.185394 *         4 *
*        4 *       16 *      2212 * -7544.647 * 16935.573 * -4904.088 * 280.19837 *         1 *
*        4 *       17 *      2212 * -7544.647 * 16935.573 * -4904.088 * 280.19866 *         4 *
*        4 *       18 *      2212 * -7539.908 * 16938.466 * -4908.559 * 140.84893 *         1 *
*        4 *       19 *      2212 * -7539.908 * 16938.466 * -4908.559 * 140.84922 *         4 *
*        4 *       20 *      2212 * -7535.249 * 16941.448 * -4912.384 * 9.7520753 *         1 *
*        4 *       21 *      2212 * -7535.249 * 16941.448 * -4912.384 * 9.7520753 *         4 *
*        4 *       22 *      2212 * -7534.847 * 16941.283 * -4912.545 * 3.9545629 *         1 *
*        4 *       23 *      2212 * -7534.847 * 16941.283 * -4912.545 * 3.9545631 *         4 *
*        4 *       24 *      2212 * -7534.675 * 16941.391 * -4912.864 * 1.1941173 *         1 *
*        4 *       25 *      2212 * -7534.675 * 16941.392 * -4912.864 * 1.1943588 *         4 *
*        4 *       26 *      2212 * -7535.695 * 16940.224 * -4913.983 * 0.2010517 *         1 *
*        4 *       27 *      2212 * -7535.695 * 16940.224 * -4913.984 * 0.2012543 *         4 *
*        5 *       27 *      2212 * -7418.642 * 12647.467 * -14205.51 * 25524.126 *         1 *
*        5 *       28 *      2212 * -7418.642 * 12647.467 * -14205.51 * 25524.126 *         4 *
*        5 *       29 *      2212 * -7419.149 * 12647.802 * -14205.49 * 25333.602 *         1 *
*        5 *       30 *      2212 * -7419.149 * 12647.802 * -14205.49 * 25333.602 *         4 *
*        5 *       31 *      2212 * -7425.654 * 12632.347 * -14199.10 * 18934.933 *         1 *
*        5 *       32 *      2212 * -7425.654 * 12632.347 * -14199.10 * 18934.934 *         4 *
*        5 *       33 *      2212 * -7427.955 * 12633.984 * -14196.34 * 17363.821 *         1 *
*        5 *       34 *      2212 * -7427.955 * 12633.984 * -14196.34 * 17363.822 *         4 *
*        5 *       35 *      2212 * -7425.733 * 12633.764 * -14195.38 * 16262.773 *         1 *
*        5 *       36 *      2212 * -7425.733 * 12633.764 * -14195.38 * 16262.774 *         4 *
*        5 *       37 *      2212 * -7429.515 * 12638.896 * -14195.99 * 12376.860 *         1 *
*        5 *       38 *      2212 * -7429.515 * 12638.896 * -14195.99 * 12376.860 *         4 *
*        5 *       39 *      2212 * -7424.193 * 12634.582 * -14203.43 * 8606.9380 *         1 *
*        5 *       40 *      2212 * -7424.193 * 12634.582 * -14203.43 * 8606.9383 *         4 *
*        5 *       41 *      2212 * -7423.509 * 12634.032 * -14205.47 * 7649.6733 *         1 *
*        5 *       42 *      2212 * -7423.509 * 12634.032 * -14205.47 * 7649.6736 *         4 *
*        5 *       43 *      2212 * -7413.531 * 12618.477 * -14207.21 * 1450.1447 *         1 *
*        5 *       44 *      2212 * -7413.531 * 12618.477 * -14207.21 * 1450.1450 *         4 *
*        5 *       45 *      2212 * -7413.934 * 12618.300 * -14206.98 * 1372.2067 *         1 *
*        5 *       46 *      2212 * -7413.934 * 12618.300 * -14206.98 * 1372.2070 *         4 *
*        5 *       47 *      2212 * -7414.788 * 12616.503 * -14205.46 * 1021.8323 *         1 *
*        5 *       48 *      2212 * -7414.788 * 12616.503 * -14205.46 * 1021.8326 *         4 *
*        5 *       49 *      2212 * -7432.167 * 12609.367 * -14214.04 * 247.84979 *         1 *
*        5 *       50 *      2212 * -7432.167 * 12609.367 * -14214.04 * 247.85008 *         4 *
*        5 *       51 *      2212 * -7437.367 * 12609.084 * -14213.06 * 84.631289 *         1 *
*        5 *       52 *      2212 * -7437.367 * 12609.084 * -14213.06 * 84.631289 *         4 *
*        5 *       56 *      2212 * -7438.642 * 12611.316 * -14212.58 * 28.254955 *         1 *
*        5 *       57 *      2212 * -7438.642 * 12611.316 * -14212.58 * 28.254955 *         4 *
*        5 *       61 *      2212 * -7437.535 * 12610.588 * -14212.08 * 12.093117 *         1 *
*        5 *       62 *      2212 * -7437.535 * 12610.588 * -14212.08 * 12.093345 *         4 *
*        6 *      508 *      2212 * -8932.350 * -2179.793 * -679.4864 * 3335.7375 *         1 *
*        6 *      509 *      2212 * -8932.350 * -2179.793 * -679.4864 * 3335.7377 *         4 *
*        6 *      513 *      2212 * -8931.910 * -2181.014 * -679.7333 * 3073.5479 *         1 *
*        6 *      514 *      2212 * -8931.910 * -2181.014 * -679.7333 * 3073.5482 *         4 *
*        6 *      521 *      2212 * -8940.273 * -2181.311 * -698.6039 * 284.37031 *         1 *
*        6 *      522 *      2212 * -8940.273 * -2181.311 * -698.6039 * 284.37031 *         4 *
*        6 *      526 *      2212 * -8934.009 * -2181.032 * -706.5056 * 119.46752 *         1 *
*        6 *      527 *      2212 * -8934.009 * -2181.032 * -706.5056 * 119.46752 *         4 *
*        6 *      528 *      2212 * -8933.530 * -2182.248 * -709.8702 * 89.282039 *         1 *
*        6 *      529 *      2212 * -8933.530 * -2182.248 * -709.8702 * 89.282040 *         4 *
*        6 *      530 *      2212 * -8934.532 * -2183.972 * -710.6206 * 79.700008 *         1 *
*        6 *      531 *      2212 * -8934.532 * -2183.972 * -710.6206 *  79.70001 *         4 *
*        6 *      535 *      2212 * -8937.952 * -2182.519 * -715.8912 * 52.236155 *         1 *
*        6 *      536 *      2212 * -8937.952 * -2182.519 * -715.8913 * 52.236176 *         4 *
*        6 *      537 *      2212 * -8934.325 * -2159.341 * -708.9564 * 12.467196 *         1 *
*        6 *      538 *      2212 * -8934.325 * -2159.341 * -708.9564 * 12.467199 *         4 *
*        7 *       59 *      2212 * 13054.890 * -12349.53 * -13275.21 * 65325.588 *         1 *
*        7 *       60 *      2212 * 13054.890 * -12349.53 * -13275.21 * 65325.588 *         4 *
*        7 *       61 *      2212 * 13069.467 * -12352.78 * -13278.25 * 55250.908 *         1 *
*        7 *       62 *      2212 * 13069.467 * -12352.78 * -13278.25 * 55250.909 *         4 *
*        7 *       63 *      2212 * 13076.159 * -12355.24 * -13276.32 * 50847.942 *         1 *
*        7 *       64 *      2212 * 13076.159 * -12355.24 * -13276.32 * 50847.943 *         4 *
*        7 *       68 *      2212 * 13076.292 * -12355.42 * -13278.75 * 45779.233 *         1 *
*        7 *       69 *      2212 * 13076.292 * -12355.42 * -13278.75 * 45779.233 *         4 *
*        7 *       70 *      2212 * 13072.756 * -12351.87 * -13275.79 * 41980.019 *         1 *
*        7 *       71 *      2212 * 13072.756 * -12351.87 * -13275.79 * 41980.019 *         4 *
*        7 *       72 *      2212 * 13073.855 * -12347.70 * -13276.01 * 40801.004 *         1 *
*        7 *       73 *      2212 * 13073.855 * -12347.70 * -13276.01 * 40801.004 *         4 *
*        7 *       77 *      2212 * 13076.493 * -12337.37 * -13274.35 * 37290.725 *         1 *
*        7 *       78 *      2212 * 13076.493 * -12337.37 * -13274.35 * 37290.725 *         4 *
*        7 *       82 *      2212 * 13069.451 * -12336.00 * -13268.80 * 33600.396 *         1 *
*        7 *       83 *      2212 * 13069.451 * -12336.00 * -13268.80 * 33600.397 *         4 *
